"week","new_cases","new_deaths","icu_patients","hosp_patients","stringency_index","temp","humidity","precip","windspeed","school","work","stayhome","events","transport"
"2020-03-30",1041.6,146.2,1295.6,2624.6,78.7,7.78,67.64,0.3298,25.92,3,2,2,2,1
"2020-04-06",1110.42857142857,139.428571428571,1398.71428571429,2730.57142857143,78.7,12.6714285714286,63.9428571428571,0.152714285714286,19.1571428571429,3,2,2,2,1
"2020-04-13",981.571428571429,135.428571428571,1255.71428571429,2319.85714285714,78.7,9.58571428571429,64.7,0.0694285714285714,24.1428571428571,3,2,2,2,1
"2020-04-20",692.428571428571,113.428571428571,1022.71428571429,1923.14285714286,78.7,12.3142857142857,55.8285714285714,0,25.9857142857143,3,2,2,2,1
"2020-04-27",361,83,783.428571428571,1511.85714285714,78.7,10.6428571428571,79.5428571428571,2.71642857142857,26.5285714285714,3,2,2,2,1
"2020-05-04",288.285714285714,55.1428571428571,593,1239.85714285714,78.7,12.3857142857143,67.0142857142857,0.0535714285714286,21.5857142857143,3,2,2,2,1
"2020-05-11",193.428571428571,34.2857142857143,410.857142857143,1022.71428571429,71.3,8.98571428571429,64.9857142857143,0.143285714285714,26.2428571428571,2,2,1,2,1
"2020-05-18",186.285714285714,20.2857142857143,264,868.428571428571,71.3,15.9857142857143,69.8714285714286,0.379,28.2571428571429,2,2,1,2,1
"2020-05-25",157.142857142857,19.1428571428571,184.428571428571,660.428571428571,71.3,15.6142857142857,64.9857142857143,0.00728571428571429,23.3142857142857,2,2,1,2,1
"2020-06-01",170.571428571429,8.14285714285714,118.571428571429,486.142857142857,62.96,14.3571428571429,72.1285714285714,3.98971428571429,27.4714285714286,2,2,1,2,0
"2020-06-08",172.714285714286,6.57142857142857,81.2857142857143,317.285714285714,62.96,16.0285714285714,77.6142857142857,2.65442857142857,21.5,2,2,1,2,0
"2020-06-15",101.428571428571,4.42857142857143,67.7142857142857,255.285714285714,59.26,17.9,76.6428571428571,2.212,21.2857142857143,1,2,1,2,0
"2020-06-22",80.7142857142857,2.14285714285714,43.2857142857143,189.714285714286,59.26,20.7857142857143,64.3,1.84714285714286,24.2571428571429,1,2,1,2,0
"2020-06-29",66.5238095238095,3.14285714285714,24.2857142857143,122.428571428571,49.3385714285714,16.9571428571429,78.1714285714286,2.854,37.6428571428571,1,2,1,1,0
"2020-07-06",68.9761904761905,1.78571428571429,23.2857142857143,76.1428571428571,45.37,14.9857142857143,80.7285714285714,4.12957142857143,24.0285714285714,1,2,1,1,0
"2020-07-13",116.857142857143,0.571428571428571,18.2857142857143,82.4285714285714,45.37,17.1571428571429,78.3142857142857,0.874285714285714,18.2714285714286,1,2,1,1,0
"2020-07-20",182.285714285714,3.28571428571429,16.2857142857143,82.7142857142857,45.37,16.9571428571429,73.3285714285714,2.58771428571429,23.9285714285714,1,2,1,1,0
